source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
Live Heats,147591,290218,Women,Quarterfinal ,1,1902070,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290218,Women,Semifinal,2,1902071,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290218,Women,Final,3,1902072,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147591,290218,Women,Final,4,1909454,0,,,,,2,2,1,1.0
Live Heats,147591,290219,Junior Boys,Round 1,0,1902065,0,3.0,4.0,,,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Double Round 2,1,1902066,0,1.0,3.0,2.0,2.0,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Semifinal,2,1902067,0,1.0,2.0,,,1,2,1,1.5
Live Heats,147591,290219,Junior Boys,Final,3,1902068,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147591,290219,Junior Boys,Final,4,1909453,0,,,,,2,2,1,1.0
Live Heats,147591,290220,Masters,Round 1,0,1902688,0,,2.0,,1.0,3,3,1,1.0
Live Heats,147591,290220,Masters,Round 2,1,1902691,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 3,2,1902693,0,,,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Round 4,3,1902695,0,1.0,9.0,1.0,8.0,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 5,4,1904995,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 6,5,1904996,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 7,6,1904997,0,2.0,3.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 8,7,1904998,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Round 9,8,1904999,0,1.0,2.0,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Quarterfinal ,9,1905000,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Semifinal,10,1909353,0,,,,,1,3,1,2.0
Live Heats,147591,290220,Masters,Final,11,1909356,0,2.0,3.0,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Final,12,1909372,0,,,,,2,3,1,1.5
Live Heats,147591,290220,Masters,Round 1,0,1902689,1,,2.0,,1.0,3,3,2,2.0
Live Heats,147591,290220,Masters,Round 3,2,1902694,1,,,,,2,3,2,2.5
Live Heats,147591,290220,Masters,Round 1,0,1902690,2,,2.0,,1.0,3,3,3,3.0
Live Heats,147592,290222,Men,Round 1,0,2060910,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290222,Men,Final,1,2060916,0,,,,,1,2,1,1.5
Live Heats,147592,290222,Men,Round 1,0,2060911,1,2.0,3.0,,,2,2,2,2.0
Live Heats,147592,290225,Masters,Quarterfinal,0,2060903,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290225,Masters,Final,1,2061000,0,,,,,1,2,1,1.5
Live Heats,147592,290225,Masters,Quarterfinal,0,2060904,1,2.0,3.0,,,2,2,2,2.0
Live Heats,147592,290226,Open AM,Round 1,0,2060886,0,2.0,3.0,,,2,2,1,1.0
Live Heats,147592,290226,Open AM,Final,1,2060892,0,2.0,3.0,,,1,2,1,1.5
Live Heats,147592,290226,Open AM,Round 1,0,2060887,1,2.0,3.0,,,2,2,2,2.0
Live Heats,117331,293776,U17 Boys,Final,0,1883663,0,0.0,1.0,,,1,1,1,1.0
Live Heats,117331,293777,U15 Boys,Final,0,1883662,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72454,310717,Pro Men's Trials ,Semifinal,0,1822128,0,2.0,3.0,,,2,2,1,1.0
Live Heats,72454,310717,Pro Men's Trials ,Semifinal,0,1822129,1,2.0,3.0,,,2,2,2,2.0
Live Heats,164024,315787,Men,Final,0,1832292,0,0.0,1.0,,,1,1,1,1.0
Live Heats,164717,315939,Men,Final,0,1832789,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316791,Men,Final,0,2158214,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316792,Women,Final,0,2158208,0,0.0,1.0,,,1,1,1,1.0
Live Heats,165509,316793,Masters,Final,0,2158213,0,0.0,1.0,,,1,1,1,1.0
Live Heats,172539,327548,Masters,Final,0,1862725,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888063,0,,,,,4,4,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888064,0,,,,,4,4,1,1.0
Live Heats,72455,338059,Pro Men's Double,Round 3,2,1888065,0,,,,,2,4,1,2.0
Live Heats,72455,338059,Pro Men's Double,Round 4,3,1888066,0,,,,,2,4,1,2.0
Live Heats,72455,338059,Pro Men's Double,Round 5,4,1888070,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 6,5,1888074,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 7,6,1888076,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 8,7,1888078,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Quarterfinal,8,1888084,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Semifinal,9,1888085,0,,,,,1,4,1,2.5
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888067,1,,,,,4,4,2,2.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888071,1,,,,,4,4,2,2.0
Live Heats,72455,338059,Pro Men's Double,Round 3,2,1888075,1,,,,,2,4,2,3.0
Live Heats,72455,338059,Pro Men's Double,Round 4,3,1888077,1,,,,,2,4,2,3.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888068,2,,,,,4,4,3,3.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888072,2,,,,,4,4,3,3.0
Live Heats,72455,338059,Pro Men's Double,Round 1,0,1888069,3,,,,,4,4,4,4.0
Live Heats,72455,338059,Pro Men's Double,Round 2,1,1888073,3,,,,,4,4,4,4.0
Live Heats,72455,338060,Pro Women's Double,Round 1,0,1891326,0,,,,,2,2,1,1.0
Live Heats,72455,338060,Pro Women's Double,Round 2,1,1891336,0,,,,,2,2,1,1.0
Live Heats,72455,338060,Pro Women's Double,Round 3,2,1891341,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 4,3,1891344,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 5,4,1891346,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Round 6,5,1891359,0,,,,,1,2,1,1.5
Live Heats,72455,338060,Pro Women's Double,Quarterfinal,6,1891360,0,,,,,1,2,1,1.5
