source,event_id,division_id,athlete_id,place,incomplete
Live Heats,187558,353267,936090,2,False
Live Heats,187558,353267,776171,3,False
Live Heats,187558,353267,936092,4,False
Live Heats,187558,353267,936103,5,False
Live Heats,187558,353267,936093,5,False
Live Heats,187558,353268,30676,1,False
Live Heats,187558,353268,776008,2,False
Live Heats,187558,353268,936095,3,False
Live Heats,187558,353268,936098,4,False
Live Heats,187558,353268,776009,5,False
Live Heats,187558,353268,1176462,5,False
Live Heats,187558,353268,776173,7,False
Live Heats,187558,353268,1176463,8,False
Live Heats,187558,353271,936103,1,False
Live Heats,187558,353271,1176465,2,False
Live Heats,187558,353271,1176467,3,False
Live Heats,187558,353272,776011,1,False
Live Heats,187558,353272,776020,2,False
Live Heats,187558,353272,1525251,3,False
Live Heats,187558,353272,1176472,4,False
Live Heats,187558,353272,1176473,5,False
Live Heats,187558,353273,776011,1,False
Live Heats,187558,353273,1525251,2,False
Live Heats,187558,353273,776012,3,False
Live Heats,187558,353273,1176468,4,False
Live Heats,187558,353273,776017,5,False
Live Heats,187558,353273,1176470,6,False
Live Heats,187558,353273,776014,7,False
Live Heats,187558,353273,1176471,8,False
Live Heats,187558,388585,174196,1,False
Live Heats,187558,388585,936090,2,False
Live Heats,187558,388585,776171,3,False
Live Heats,187558,388586,776006,1,False
Live Heats,187558,388586,30676,2,False
Live Heats,187558,388586,1065219,3,False
Live Heats,187558,388586,151806,4,False
Live Heats,187558,388586,776008,5,False
Live Heats,187558,388586,936061,5,False
Live Heats,187558,388586,1050467,7,False
Live Heats,187558,388586,936095,8,False
Live Heats,187558,388586,1170963,9,False
Live Heats,249495,441634,775115,1,False
Live Heats,249495,441634,1277939,2,False
Live Heats,249495,441634,1277940,3,False
Live Heats,187564,353299,820127,1,False
Live Heats,187564,353299,1210135,2,False
Live Heats,187564,353299,1207521,3,False
Live Heats,187564,353299,1177773,4,False
Live Heats,187564,353299,815441,5,False
Live Heats,187564,353299,1205855,5,False
Live Heats,187564,353299,923339,7,False
Live Heats,187564,353299,1198918,8,False
Live Heats,187564,353299,1322552,9,False
Live Heats,187564,353299,1198791,10,False
Live Heats,187564,353299,937178,11,False
Live Heats,187564,353299,1203243,12,False
Live Heats,187564,353299,1322553,13,False
Live Heats,187564,353299,923342,13,False
Live Heats,187564,353299,1322554,15,False
Live Heats,187564,353299,1322555,15,False
Live Heats,187564,353299,1205034,17,False
Live Heats,187564,353299,923338,17,False
Live Heats,187564,353299,1202115,17,False
Live Heats,187564,353299,1409639,17,False
Live Heats,187564,353300,1171826,1,False
Live Heats,187564,353300,1200826,2,False
Live Heats,187564,353300,814748,3,False
Live Heats,187564,353300,1200379,4,False
Live Heats,187564,353300,1169635,5,False
Live Heats,187564,353300,818279,5,False
Live Heats,187564,353300,845736,7,False
Live Heats,187564,353300,1198339,8,False
