source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
Live Heats,72452,1720246,168196,847319,2.73,2.73,,,,0.0,0.0,12.07,1720246_847319
Live Heats,72452,1720246,168196,847319,4.63,4.63,,,,0.0,0.0,12.07,1720246_847319
Live Heats,72452,1720246,168196,847319,1.0,1.0,,,,0.0,0.0,12.07,1720246_847319
Live Heats,72452,1720246,168196,817982,5.1,5.1,,,True,0.0,0.0,10.4,1720246_817982
Live Heats,72452,1720246,168196,817982,3.2,3.2,,,,0.0,0.0,10.4,1720246_817982
Live Heats,72452,1720246,168196,817982,5.3,5.3,,,True,0.0,0.0,10.4,1720246_817982
Live Heats,72452,1720246,168196,820094,3.9,3.9,,,,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,820094,3.57,3.57,,,,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,820094,4.37,4.37,,,True,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,820094,3.23,3.23,,,,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,820094,4.43,4.43,,,True,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,820094,2.0,2.0,,,,0.0,0.0,8.8,1720246_820094
Live Heats,72452,1720246,168196,838673,1.0,1.0,,,True,0.0,0.0,1.0,1720246_838673
Live Heats,72452,1720247,168196,817949,6.27,6.27,,,,0.0,0.0,14.8,1720247_817949
Live Heats,72452,1720247,168196,817949,7.57,7.57,,,True,0.0,0.0,14.8,1720247_817949
Live Heats,72452,1720247,168196,817949,7.23,7.23,,,True,0.0,0.0,14.8,1720247_817949
Live Heats,72452,1720247,168196,817949,6.9,6.9,,,,0.0,0.0,14.8,1720247_817949
Live Heats,72452,1720247,168196,1165941,4.83,4.83,,,,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1165941,6.77,6.77,,,True,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1165941,5.7,5.7,,,,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1165941,6.2,6.2,,,,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1165941,6.97,6.97,,,True,0.0,0.0,13.739999999999998,1720247_1165941
Live Heats,72452,1720247,168196,1165941,5.17,5.17,,,,0.0,0.0,13.739999999999998,1720247_1165941
