id,name,status,daysWindow,start_date,finish_date,location,stars,start_date_dt,end_date_dt,matched_pwa_event_id
172539,Australia 2 STAR Woolgoolga Classic NSW,Results Published,3,29/09/2023,02/10/2023,Australia 2 Star Woolgoolga Classic Nsw,2.0,2023-09-29,2023-10-02,
117330,Morocco: 2 STAR Wave Classic Moulay,Results Published,8,01/04/2023,09/04/2023,Morocco,2.0,2023-04-01,2023-04-09,
187553,Morocco: 3 STAR Moulay Wave Classic,Results Published,8,26/04/2024,04/05/2024,Morocco,3.0,2024-04-26,2024-05-04,
187560,Guadeloupe: 2 STAR King Of Moule,Results Published,1,20/01/2024,21/01/2024,Guadeloupe,2.0,2024-01-20,2024-01-21,
165509,Israel: 2 STAR Znavot Wave Classic - Chemical Riders,Results Published,60,31/01/2024,31/03/2024,Israel,2.0,2024-01-31,2024-03-31,
214877,Germany: 2 Star The German Wave Tour ,Results Published,5,11/06/2023,16/06/2023,Germany,2.0,2023-06-11,2023-06-16,
361991,FINALND: 2 STAR Surfsport Wave Champs,Scheduled,115,11/07/2025,03/11/2025,Finalnd,2.0,2025-07-11,2025-11-03,
72455,HAWAII: detail heat results,Results Published,13,23/10/2023,05/11/2023,Hawaii,,2023-10-23,2023-11-05,
187559,Chile: 2 STAR Sirena Wave Classic,Results Published,2,02/12/2023,04/12/2023,Chile,2.0,2023-12-02,2023-12-04,
72449,Chile: 2 STAR SIRENA Wave Classic,Results Published,9,03/12/2022,12/12/2022,Chile,2.0,2022-12-03,2022-12-12,
74629,Guadeloupe: 2 STAR Wanalao Wave Classic,Results Published,15,15/01/2023,30/01/2023,Guadeloupe,2.0,2023-01-15,2023-01-30,
74528,Puerto.Rico: 2 STAR Wind Warriors,Results Published,2,25/02/2023,27/02/2023,Puerto.Rico,2.0,2023-02-25,2023-02-27,
72488,Australia: 2 STAR SEVERNE East Coast Titles ,Results Published,9,04/02/2023,13/02/2023,Australia,2.0,2023-02-04,2023-02-13,
74628,Taiwan: 1 STAR Wave Jam ,Results Published,10,18/11/2022,28/11/2022,Taiwan,1.0,2022-11-18,2022-11-28,
272891,Ireland: 3 STAR Mayo Mayhem,Results Published,10,26/09/2024,06/10/2024,Ireland,3.0,2024-09-26,2024-10-06,
72485,Australia: 2 STAR Lancelin Wave Classic,Results Published,4,18/01/2023,22/01/2023,Australia,2.0,2023-01-18,2023-01-22,
74594,Ireland: 2 STAR Mayo Mayhem,Results Published,3,29/09/2023,02/10/2023,Ireland,2.0,2023-09-29,2023-10-02,
187576,Australia: 2 STAR SurfFX North Coast Woopi Classic,Results Published,3,04/10/2024,07/10/2024,Australia,2.0,2024-10-04,2024-10-07,
72450,France: 2 STAR Championnat De France Funboard Vagues 2023,Results Published,2,18/11/2023,20/11/2023,France,2.0,2023-11-18,2023-11-20,
81557,Japan: 1 STAR Cold Breeze,Results Published,2,24/12/2022,26/12/2022,Japan,1.0,2022-12-24,2022-12-26,
305429,Australia: 2 Star WSS Sydney Wavesailing Smackfest,Results Published,2,15/11/2024,17/11/2024,Australia,2.0,2024-11-15,2024-11-17,
322524,PERU: 3 STAR Pacasmayo Classic World Cup,Scheduled,9,23/08/2025,01/09/2025,Peru,3.0,2025-08-23,2025-09-01,
268535,Chile: 3 STAR Sirena Wave Classic,Results Published,3,12/12/2024,15/12/2024,Chile,3.0,2024-12-12,2024-12-15,
268536,Chile: 3 STAR Surazo Infernal Navidad,Results Published,4,07/11/2024,11/11/2024,Chile,3.0,2024-11-07,2024-11-11,
322457,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,01/11/2024,01/12/2024,Taiwan,1.0,2024-11-01,2024-12-01,
321767,Chile: 3 STAR Surazo Infernal Navidad - women's results ,Results Published,4,07/11/2024,11/11/2024,Chile,3.0,2024-11-07,2024-11-11,
322490,Morocco: 3 STAR Moulay Wave Classic,Scheduled,8,26/04/2025,04/05/2025,Morocco,3.0,2025-04-26,2025-05-04,
322523,Ireland: 3 STAR Mayo Mayhem,Scheduled,30,01/09/2025,01/10/2025,Ireland,3.0,2025-09-01,2025-10-01,
318167,Belgium 2 Star Nationals ,Results Published,4,18/10/2024,22/10/2024,Belgium 2 Star Nationals,2.0,2024-10-18,2024-10-22,
275136,Netherlands: 2 STAR Slam Om Domburg,Finished,122,31/07/2024,30/11/2024,Netherlands,2.0,2024-07-31,2024-11-30,
322525,Denmark: 3 STAR Danish Open Wave Championships,Scheduled,30,01/09/2025,01/10/2025,Denmark,3.0,2025-09-01,2025-10-01,
322556,Scotland: 3 STAR Tiree Wave Classic,Scheduled,7,11/10/2025,18/10/2025,Scotland,3.0,2025-10-11,2025-10-18,
322557,Chile: 3 STAR Surazo Infernal Navidad,Scheduled,30,01/11/2025,01/12/2025,Chile,3.0,2025-11-01,2025-12-01,
322558,France: 3 STAR Wissant Wave Classic,Scheduled,30,01/11/2025,01/12/2025,France,3.0,2025-11-01,2025-12-01,
295232,Judges Training Event,Finished,8,01/10/2023,09/10/2023,Judges Training Event,,2023-10-01,2023-10-09,
296885,Test,Finished,2,01/01/2022,03/01/2022,Test,,2022-01-01,2022-01-03,
277082,Israel: 3 STAR Storm Rider Haifa,Finished,75,16/01/2025,01/04/2025,Israel,3.0,2025-01-16,2025-04-01,
187554,Australia: 3 STAR Severne Margaret River Wavesailing Classic 2024,Results Published,1,02/02/2024,03/02/2024,Australia,3.0,2024-02-02,2024-02-03,
266588,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,14/01/2025,20/01/2025,Australia,,2025-01-14,2025-01-20,
