source,event_id,heat_id,eventDivisionId,athleteId,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points
Live Heats,117331,1764542,247053,923485,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,1166233,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,817949,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,1163257,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,830095,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,923495,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,923497,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,530548,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,1181562,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,923498,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,1166082,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,775151,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764542,247053,817982,33.0,33.0,,,True,0.0,0.0,33.0
Live Heats,117331,1764508,247054,923330,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1764508,247054,820127,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1764508,247054,1210135,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1764508,247054,923332,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1764508,247054,1205034,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1764508,247054,1207521,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,117331,1764508,247054,815441,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1764508,247054,923335,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1764508,247054,1198918,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764508,247054,1205855,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764508,247054,820028,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764508,247054,1177773,9.0,9.0,,,True,0.0,0.0,9.0
Live Heats,117331,1764508,247054,923339,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764508,247054,923341,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764508,247054,1203243,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764508,247054,923338,13.0,13.0,,,True,0.0,0.0,13.0
Live Heats,117331,1764508,247054,923342,17.0,17.0,,,True,0.0,0.0,17.0
Live Heats,117331,1883664,247055,1169635,1.0,1.0,,,True,0.0,0.0,1.0
Live Heats,117331,1883664,247055,923450,2.0,2.0,,,True,0.0,0.0,2.0
Live Heats,117331,1883664,247055,1576025,3.0,3.0,,,True,0.0,0.0,3.0
Live Heats,117331,1883664,247055,844750,4.0,4.0,,,True,0.0,0.0,4.0
Live Heats,117331,1883664,247055,1576322,5.0,5.0,,,True,0.0,0.0,5.0
Live Heats,117331,1883664,247055,923485,6.0,6.0,,,True,0.0,0.0,6.0
Live Heats,117331,1883664,247055,775151,7.0,7.0,,,True,0.0,0.0,7.0
Live Heats,117331,1883664,247055,1176481,7.0,7.0,,,True,0.0,0.0,7.0
