name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Scotty Stallman,23.0,British ,GBR-68,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1828&cHash=b34e8de79e21d820a0c2c817ca1dc3d3,"Tabou Boards, GA Sails, F4 Foils",2002.0
Dorota Staszewska,46.0,Polish ,POL-1,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=246&cHash=e193429a6c6fd7ce7ce59d5f14f20109,"Starboard, VW, GA Sails, Deboichet, Era Network",1979.0
Gregory Stathopoulos,18.0,Greek ,GRE-73,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2183&cHash=aa993c93f7ce1f8c496430ad625590b2,Goya Windsurfing,2007.0
Tamar Steinberg,18.0,Israeli ,ISR-216,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1961&cHash=f12222ab0fb806f8ed75863f2991df52,Future Fly Boards,2007.0
Theresia Steinlein,,German ,GER-799,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2057&cHash=c11a9e590c52af65bac040d6727ace3e,,
Markus Steinlein,57.0,German ,GER-127,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2083&cHash=bb523eb16e01eb6e567f6963645dfc18,"JP, NeilPryde",1968.0
Sophie Steinlein,,German ,GER-772,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2014&cHash=0ed012f5fef21d0d826d223eb6c27bfc,,
Caterina Stenta,37.0,Italian ,I-662,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1440&cHash=91f36737cfbdd7b184ada43ce243a375,"AL360, Maui Ultra Fins, Reptile Masts",1988.0
Alessio Stillrich,30.0,Spanish ,E-95,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1136&cHash=4d93ee750606adbddd9a87dfc6f667b7,"Simmer Style, ION, Choco Fins",1995.0
Jochen Stolz,47.0,German ,E-174,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1450&cHash=f043ecb3ae661efa633bec83cfbc1797,"Bruch Boards, Simmer Style, MaverX Masts",1978.0
Jaeger Stone,34.0,Australian ,KA-120,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=825&cHash=f2bdd3455e4e87143db86a51a1e6da0f,"Starboard, Severne Windsurfing, Flying Objects, Kinetic IT, SWOX, Cockburn Joinery, Shamal Sunglasses",1991.0
Josh Stone,,American ,USA-6,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=155&cHash=cc540cab66c7a0526c5f02006381472d,"Goya Windsurfing, Red Bull, Kaenon Sunglasses",
Tommasso Strazieri,,Italian ,ITA-180,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2080&cHash=223cc7cb0b14c78325275d88abb2dbd1,,
Sem Stroosma,21.0,Dutch ,NED-450,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2081&cHash=15a34809e8f51a5b21e40b03c024a317,,2004.0
Noni Stuven,13.0,Chilean ,CHI-18,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2165&cHash=28161689a84839ff4ebebb813c63f541,Goya Windsurfing,2012.0
Takuma Sugi,22.0,Japanese ,J-7,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1801&cHash=73a20c39503e6ee89bd792001fdbbd46,"Tabou Boards, GA Sails, Overboard, Black Project Fins, On's",2003.0
Yuki Sunaga,44.0,Japanese ,JPN-470,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1638&cHash=703ebea0aafa7afb9c2d206619c579c7,"Patrik Boards, Loftsails, Prolimit, Tears, MRC",1981.0
