source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,363,978,Takuma Sugi,J-7,9,4029,False
PWA,363,978,Morgan Noireaux,HI-101,9,4029,False
PWA,363,978,Titouan Flechet,F-47,9,4029,False
PWA,363,978,Julian Salmonn,G-21,17,2223,False
PWA,363,978,Anton Richter,G-6,17,2223,False
PWA,363,978,Tim van Dam Sanchidrian,E-51,17,2223,False
PWA,363,978,Tobias Bjørnaa,D-36,17,2223,False
PWA,363,978,Tomer Shamgar,ISR-13,17,2223,False
PWA,363,978,Samuele Ferraro,I-505,17,2223,False
PWA,363,978,Laurin Schmuth,G-878,17,2223,False
PWA,363,978,Simon Thule,DEN-134,17,2223,False
PWA,363,978,Nick Spangenberg,G-141,17,2223,False
PWA,363,978,Michael Friedl Morales,E-255,17,2223,False
PWA,363,978,Julien Flechet,F-67,17,2223,False
PWA,363,978,Antony Ruenes,F-85,17,2223,False
PWA,363,978,Adam Warchol,POL-111,17,2223,False
PWA,363,978,Federico Morisio,I-676,17,2223,False
PWA,363,978,Leon Jamaer,G-208,17,2223,False
PWA,363,978,Antoine Albert,NC-21,17,2223,False
PWA,363,979,Sarah-Quita Offringa,ARU-91,1,10000,False
PWA,363,979,Alexia Kiefer Quintana,E-59,2,8500,False
PWA,363,979,Sol Degrieck,B-5,3,7650,False
PWA,363,979,Lina Erpenstein,G-3,4,6885,False
PWA,363,979,Maria Behrens,G-209,5,5680,False
PWA,363,979,Justyna Sniady,POL-1111,5,5680,False
PWA,363,979,Maria Morales Navarro,E-737,5,5680,False
PWA,363,979,Coraline Foveau,F-351,5,5680,False
PWA,363,979,Pauline Katz,SUI-678,9,4228,False
PWA,363,979,Marine Hunter,FRA-181,9,4228,False
PWA,363,979,Lisa Wermeister,F-293,9,4228,False
PWA,363,979,Line Bang Wittrup,D-82,9,4228,False
PWA,363,979,Sybille Bode,G-132,9,4228,False
PWA,363,979,Steffi Wahl,G-303,9,4228,False
PWA,338,918,Marcilio Browne,BRA-105,1,10000,False
PWA,338,918,Marino Gil Gherardi,E-959,2,8500,False
PWA,338,918,Marc Paré,E-334,3,7650,False
PWA,338,918,Ricardo Campello,V-111,4,6885,False
PWA,338,918,Philip Köster,G-44,5,6370,False
PWA,338,918,Leon Jamaer,G-208,6,5930,False
PWA,338,918,Alessio Stillrich,E-95,7,5285,False
PWA,338,918,Josep Pons,E-203,7,5285,False
PWA,338,918,Antoine Martin,F-193,9,4476,False
PWA,338,918,Jules Denel,FRA-41,9,4476,False
PWA,338,918,Victor Fernandez,E-42,9,4476,False
PWA,338,918,Adam Warchol,POL-111,9,4476,False
PWA,338,918,Robby Swift,K-89,13,3645,False
PWA,338,918,Thomas Traversa,F-3,13,3645,False
PWA,338,918,Moritz Mauch,G-103,13,3645,False
PWA,338,918,Federico Morisio,I-676,13,3645,False
PWA,338,918,Julian Salmonn,G-21,17,2693,False
PWA,338,918,Liam Dunkerbeck Morales,E-11,17,2693,False
PWA,338,918,Graham Ezzy,USA-1,17,2693,False
PWA,338,918,Antoine Albert,NC-21,17,2693,False
PWA,338,918,Miguel Chapuis,E-99,17,2693,False
PWA,338,918,Dieter Van der Eyken,B-35,17,2693,False
PWA,338,918,Jake Schettewi,US-25,17,2693,False
PWA,338,918,Arthur Arutkin,F-7,17,2693,False
PWA,338,918,Morgan Noireaux,HI-101,25,1784,False
PWA,338,918,Takuma Sugi,J-7,25,1784,False
PWA,338,918,Takara Ishii,J-20,25,1784,False
PWA,338,918,Omar Sanchez,E-33,25,1784,False
PWA,338,918,Hayata Ishii,J-27,25,1784,False
PWA,338,918,José Romero,E-45,25,1784,False
PWA,338,918,Michael Friedl Morales,E-255,25,1784,False
PWA,338,918,Henri Kolberg,G-45,25,1784,False
PWA,338,918,Antony Ruenes,F-85,33,1005,False
PWA,338,918,Baptiste Cloarec,F-258,33,1005,False
PWA,338,918,Simon Thule,DEN-134,33,1005,False
