,event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,division_id,division_name,sex,event_link,source,elimination_name,elimination_id,standard_event_name,year,elimination_type
54,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353268,Junior Boys,Men,https://liveheats.com/events/187558,live heats,Junior Boys,353268,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
55,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353271,U15 Girls,Women,https://liveheats.com/events/187558,live heats,U15 Girls,353271,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
56,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353272,U15 Boys,Men,https://liveheats.com/events/187558,live heats,U15 Boys,353272,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
57,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353273,U13,,https://liveheats.com/events/187558,live heats,U13,353273,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
58,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,388585,Pro Junior GIrls,Women,https://liveheats.com/events/187558,live heats,Pro Junior GIrls,388585,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
59,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,388586,Pro Junior Boys,Men,https://liveheats.com/events/187558,live heats,Pro Junior Boys,388586,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024,
60,249495,AFRICA: 3 STAR REGIONAL FINAL Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Africa,3.0,441634,Men,Men,https://liveheats.com/events/249495,live heats,Men,441634,REGIONAL FINAL Moulay Wave Classic,2024,
61,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353299,Women,Women,https://liveheats.com/events/187564,live heats,Women,353299,Gran Canaria World Cup,2024,
62,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353300,Men,Men,https://liveheats.com/events/187564,live heats,Men,353300,Gran Canaria World Cup,2024,
63,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353301,Masters,,https://liveheats.com/events/187564,live heats,Masters,353301,Gran Canaria World Cup,2024,
64,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353302,Junior Girls,Women,https://liveheats.com/events/187564,live heats,Junior Girls,353302,Gran Canaria World Cup,2024,
65,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353303,Junior Boys,Men,https://liveheats.com/events/187564,live heats,Junior Boys,353303,Gran Canaria World Cup,2024,
66,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,454486,Pro Junior GIrls,Women,https://liveheats.com/events/187564,live heats,Pro Junior GIrls,454486,Gran Canaria World Cup,2024,
67,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,454487,Pro Junior Boys,Men,https://liveheats.com/events/187564,live heats,Pro Junior Boys,454487,Gran Canaria World Cup,2024,
68,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471646,Masters,,https://liveheats.com/events/270680,live heats,Masters,471646,100% Masters Juniors Peru World Cup,2024,
69,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471647,Junior Girls,Women,https://liveheats.com/events/270680,live heats,Junior Girls,471647,100% Masters Juniors Peru World Cup,2024,
70,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471648,Junior Boys,Men,https://liveheats.com/events/270680,live heats,Junior Boys,471648,100% Masters Juniors Peru World Cup,2024,
71,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471649,Pro Junior GIrls,Women,https://liveheats.com/events/270680,live heats,Pro Junior GIrls,471649,100% Masters Juniors Peru World Cup,2024,
72,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471650,Pro Junior Boys,Men,https://liveheats.com/events/270680,live heats,Pro Junior Boys,471650,100% Masters Juniors Peru World Cup,2024,
73,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471656,OPEN,,https://liveheats.com/events/270680,live heats,OPEN,471656,100% Masters Juniors Peru World Cup,2024,
74,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471657,Grand Masters,,https://liveheats.com/events/270680,live heats,Grand Masters,471657,100% Masters Juniors Peru World Cup,2024,
75,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2.0,492502,Men,Men,https://liveheats.com/events/285332,live heats,Men,492502,French Windsurf Championship at Pole Nautique Hague,2024,
76,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2.0,492503,Women,Women,https://liveheats.com/events/285332,live heats,Women,492503,French Windsurf Championship at Pole Nautique Hague,2024,
77,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2.0,492504,Junior Girls,Women,https://liveheats.com/events/285332,live heats,Junior Girls,492504,French Windsurf Championship at Pole Nautique Hague,2024,
78,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2.0,492505,Junior Boys,Men,https://liveheats.com/events/285332,live heats,Junior Boys,492505,French Windsurf Championship at Pole Nautique Hague,2024,
79,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2.0,492506,Masters,,https://liveheats.com/events/285332,live heats,Masters,492506,French Windsurf Championship at Pole Nautique Hague,2024,
80,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2.0,290168,Men,Men,https://liveheats.com/events/147529,live heats,Men,290168,Tiree Wave Classic,2023,
81,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2.0,290169,Women,Women,https://liveheats.com/events/147529,live heats,Women,290169,Tiree Wave Classic,2023,
82,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2.0,290170,Junior Boys,Men,https://liveheats.com/events/147529,live heats,Junior Boys,290170,Tiree Wave Classic,2023,
83,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2.0,290171,Masters,,https://liveheats.com/events/147529,live heats,Masters,290171,Tiree Wave Classic,2023,
84,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5.0,343314,Men,Men,https://liveheats.com/events/181652,live heats,Men,343314,Maui Strong Aloha Classic Grand Final,2023,
85,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5.0,343315,Women,Women,https://liveheats.com/events/181652,live heats,Women,343315,Maui Strong Aloha Classic Grand Final,2023,
