,event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,elimination_id,event_link,division_id,source,year,elimination_name,division_name,sex,standard_event_name
50,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353362,,353362,live heats,2024.0,Junior Girls,Junior Girls,Women,Rhosneigr Wave Classic
51,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,353267,,353267,live heats,2024.0,Junior Girls,Junior Girls,Women,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
52,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,353268,,353268,live heats,2024.0,Junior Boys,Junior Boys,Men,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
53,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,353271,,353271,live heats,2024.0,U15 Girls,U15 Girls,Women,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
54,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,353272,,353272,live heats,2024.0,U15 Boys,U15 Boys,Men,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
55,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,353273,,353273,live heats,2024.0,U13,U13,,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
56,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,388585,,388585,live heats,2024.0,Pro Junior GIrls,Pro Junior GIrls,Women,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
57,187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,,Australia,,388586,,388586,live heats,2024.0,Pro Junior Boys,Pro Junior Boys,Men,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp
58,249495,AFRICA: 3 STAR REGIONAL FINAL Moulay Wave Classic,Results Published,8,2024-04-26,2024-04-05,Africa,3.0,441634,,441634,live heats,2024.0,Men,Men,Men,REGIONAL FINAL Moulay Wave Classic
59,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353301,,353301,live heats,2024.0,Masters,Masters,,Gran Canaria World Cup
60,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353302,,353302,live heats,2024.0,Junior Girls,Junior Girls,Women,Gran Canaria World Cup
61,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,353303,,353303,live heats,2024.0,Junior Boys,Junior Boys,Men,Gran Canaria World Cup
62,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,454486,,454486,live heats,2024.0,Pro Junior GIrls,Pro Junior GIrls,Women,Gran Canaria World Cup
63,187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5.0,454487,,454487,live heats,2024.0,Pro Junior Boys,Pro Junior Boys,Men,Gran Canaria World Cup
64,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471646,,471646,live heats,2024.0,Masters,Masters,,100% Masters Juniors Peru World Cup
65,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471647,,471647,live heats,2024.0,Junior Girls,Junior Girls,Women,100% Masters Juniors Peru World Cup
66,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471648,,471648,live heats,2024.0,Junior Boys,Junior Boys,Men,100% Masters Juniors Peru World Cup
67,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471649,,471649,live heats,2024.0,Pro Junior GIrls,Pro Junior GIrls,Women,100% Masters Juniors Peru World Cup
68,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471650,,471650,live heats,2024.0,Pro Junior Boys,Pro Junior Boys,Men,100% Masters Juniors Peru World Cup
69,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471656,,471656,live heats,2024.0,OPEN,OPEN,,100% Masters Juniors Peru World Cup
70,270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,,Peru,,471657,,471657,live heats,2024.0,Grand Masters,Grand Masters,,100% Masters Juniors Peru World Cup
71,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,,France,2.0,492502,,492502,live heats,2024.0,Men,Men,Men,French Windsurf Championship at Pole Nautique Hague
72,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,,France,2.0,492503,,492503,live heats,2024.0,Women,Women,Women,French Windsurf Championship at Pole Nautique Hague
73,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,,France,2.0,492504,,492504,live heats,2024.0,Junior Girls,Junior Girls,Women,French Windsurf Championship at Pole Nautique Hague
74,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,,France,2.0,492505,,492505,live heats,2024.0,Junior Boys,Junior Boys,Men,French Windsurf Championship at Pole Nautique Hague
75,285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,,France,2.0,492506,,492506,live heats,2024.0,Masters,Masters,,French Windsurf Championship at Pole Nautique Hague
76,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,,Scotland,2.0,290168,,290168,live heats,2023.0,Men,Men,Men,Tiree Wave Classic
77,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,,Scotland,2.0,290169,,290169,live heats,2023.0,Women,Women,Women,Tiree Wave Classic
78,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,,Scotland,2.0,290170,,290170,live heats,2023.0,Junior Boys,Junior Boys,Men,Tiree Wave Classic
79,147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,,Scotland,2.0,290171,,290171,live heats,2023.0,Masters,Masters,,Tiree Wave Classic
80,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-04-11,Hawaii,5.0,343314,,343314,live heats,2023.0,Men,Men,Men,Aloha Classic
81,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-04-11,Hawaii,5.0,343315,,343315,live heats,2023.0,Women,Women,Women,Aloha Classic
82,181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-04-11,Hawaii,5.0,343317,,343317,live heats,2023.0,Masters,Masters,,Aloha Classic
83,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-05-02,Australia,2.0,290222,,290222,live heats,2024.0,Men,Men,Men,North Windsurfing East Coast Titles. Sydney
84,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-05-02,Australia,2.0,290223,,290223,live heats,2024.0,Women,Women,Women,North Windsurfing East Coast Titles. Sydney
85,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-05-02,Australia,2.0,290225,,290225,live heats,2024.0,Masters,Masters,,North Windsurfing East Coast Titles. Sydney
86,147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-05-02,Australia,2.0,290226,,290226,live heats,2024.0,Open AM,Open AM,,North Windsurfing East Coast Titles. Sydney
87,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,,Scotland,3.0,353317,,353317,live heats,2024.0,Men,Men,Men,Tiree Wave Classic
88,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,,Scotland,3.0,353318,,353318,live heats,2024.0,Women,Women,Women,Tiree Wave Classic
89,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,,Scotland,3.0,353319,,353319,live heats,2024.0,Junior Boys,Junior Boys,Men,Tiree Wave Classic
90,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,,Scotland,3.0,353320,,353320,live heats,2024.0,Masters,Masters,,Tiree Wave Classic
91,187570,Scotland: 3 STAR Tiree Wave Classic,Results Published,7,2024-10-11,,Scotland,3.0,353321,,353321,live heats,2024.0,Junior Girls,Junior Girls,Women,Tiree Wave Classic
92,118319,CHILE: 4 STAR SURAZO Infernal - Women,Results Published,9,2023-03-25,2023-03-04,Chile,4.0,248203,,248203,live heats,2023.0,Women,Women,Women,Chile World Cup
93,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,,Japan,5.0,247081,,247081,live heats,2023.0,Men,Men,Men,Japan World Cup
94,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,,Japan,5.0,247082,,247082,live heats,2023.0,Women,Women,Women,Japan World Cup
95,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,,Japan,5.0,247083,,247083,live heats,2023.0,Junior Boys,Junior Boys,Men,Japan World Cup
96,117362,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - OPEN PRO,Results Published,6,2023-03-16,,Japan,5.0,247084,,247084,live heats,2023.0,Masters,Masters,,Japan World Cup
97,118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-03-04,Chile,4.0,248368,,248368,live heats,2023.0,Masters,Masters,,Chile World Cup
98,118385,CHILE: 4 STAR SURAZO Infernal - Masters & Youth,Results Published,9,2023-03-25,2023-03-04,Chile,4.0,248369,,248369,live heats,2023.0,Junior Boys,Junior Boys,Men,Chile World Cup
99,118715,JAPAN: 5 STAR 2023 SPICARE Omaezaki Japan Cup - WOMEN.Youth.Masters,Results Published,6,2023-03-16,,Japan,5.0,248731,,248731,live heats,2023.0,Women,Women,Women,Japan World Cup
