,source,event_id,heat_id,division_id,athlete_id,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points,heat_id_athlete_id
109,Live Heats,117331,1764542,247053,1165941,25.0,25.0,,,True,0.0,0.0,25.0,1764542_1165941
110,Live Heats,117331,1764542,247053,844750,25.0,25.0,,,True,0.0,0.0,25.0,1764542_844750
111,Live Heats,117331,1764542,247053,1392368,25.0,25.0,,,True,0.0,0.0,25.0,1764542_1392368
112,Live Heats,117331,1764542,247053,530553,25.0,25.0,,,True,0.0,0.0,25.0,1764542_530553
113,Live Heats,117331,1764542,247053,923493,25.0,25.0,,,True,0.0,0.0,25.0,1764542_923493
114,Live Heats,117331,1764542,247053,923492,25.0,25.0,,,True,0.0,0.0,25.0,1764542_923492
115,Live Heats,117331,1764542,247053,923494,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923494
116,Live Heats,117331,1764542,247053,1169471,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1169471
117,Live Heats,117331,1764542,247053,923485,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923485
118,Live Heats,117331,1764542,247053,1166233,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1166233
119,Live Heats,117331,1764542,247053,817949,33.0,33.0,,,True,0.0,0.0,33.0,1764542_817949
120,Live Heats,117331,1764542,247053,1163257,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1163257
121,Live Heats,117331,1764542,247053,830095,33.0,33.0,,,True,0.0,0.0,33.0,1764542_830095
122,Live Heats,117331,1764542,247053,923495,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923495
123,Live Heats,117331,1764542,247053,923497,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923497
124,Live Heats,117331,1764542,247053,530548,33.0,33.0,,,True,0.0,0.0,33.0,1764542_530548
125,Live Heats,117331,1764542,247053,1181562,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1181562
126,Live Heats,117331,1764542,247053,923498,33.0,33.0,,,True,0.0,0.0,33.0,1764542_923498
127,Live Heats,117331,1764542,247053,1166082,33.0,33.0,,,True,0.0,0.0,33.0,1764542_1166082
128,Live Heats,117331,1764542,247053,775151,33.0,33.0,,,True,0.0,0.0,33.0,1764542_775151
129,Live Heats,117331,1764542,247053,817982,33.0,33.0,,,True,0.0,0.0,33.0,1764542_817982
130,Live Heats,117331,1764508,247054,923330,1.0,1.0,,,True,0.0,0.0,1.0,1764508_923330
131,Live Heats,117331,1764508,247054,820127,2.0,2.0,,,True,0.0,0.0,2.0,1764508_820127
132,Live Heats,117331,1764508,247054,1210135,3.0,3.0,,,True,0.0,0.0,3.0,1764508_1210135
133,Live Heats,117331,1764508,247054,923332,4.0,4.0,,,True,0.0,0.0,4.0,1764508_923332
134,Live Heats,117331,1764508,247054,1205034,5.0,5.0,,,True,0.0,0.0,5.0,1764508_1205034
135,Live Heats,117331,1764508,247054,1207521,6.0,6.0,,,True,0.0,0.0,6.0,1764508_1207521
136,Live Heats,117331,1764508,247054,815441,7.0,7.0,,,True,0.0,0.0,7.0,1764508_815441
137,Live Heats,117331,1764508,247054,923335,7.0,7.0,,,True,0.0,0.0,7.0,1764508_923335
138,Live Heats,117331,1764508,247054,1198918,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1198918
139,Live Heats,117331,1764508,247054,1205855,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1205855
140,Live Heats,117331,1764508,247054,820028,9.0,9.0,,,True,0.0,0.0,9.0,1764508_820028
141,Live Heats,117331,1764508,247054,1177773,9.0,9.0,,,True,0.0,0.0,9.0,1764508_1177773
142,Live Heats,117331,1764508,247054,923339,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923339
143,Live Heats,117331,1764508,247054,923341,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923341
144,Live Heats,117331,1764508,247054,1203243,13.0,13.0,,,True,0.0,0.0,13.0,1764508_1203243
145,Live Heats,117331,1764508,247054,923338,13.0,13.0,,,True,0.0,0.0,13.0,1764508_923338
146,Live Heats,117331,1764508,247054,923342,17.0,17.0,,,True,0.0,0.0,17.0,1764508_923342
147,Live Heats,117331,1883664,247055,1169635,1.0,1.0,,,True,0.0,0.0,1.0,1883664_1169635
148,Live Heats,117331,1883664,247055,923450,2.0,2.0,,,True,0.0,0.0,2.0,1883664_923450
149,Live Heats,117331,1883664,247055,1576025,3.0,3.0,,,True,0.0,0.0,3.0,1883664_1576025
150,Live Heats,117331,1883664,247055,844750,4.0,4.0,,,True,0.0,0.0,4.0,1883664_844750
151,Live Heats,117331,1883664,247055,1576322,5.0,5.0,,,True,0.0,0.0,5.0,1883664_1576322
152,Live Heats,117331,1883664,247055,923485,6.0,6.0,,,True,0.0,0.0,6.0,1883664_923485
153,Live Heats,117331,1883664,247055,775151,7.0,7.0,,,True,0.0,0.0,7.0,1883664_775151
154,Live Heats,117331,1883664,247055,1176481,7.0,7.0,,,True,0.0,0.0,7.0,1883664_1176481
155,Live Heats,117331,1883664,247055,1585991,9.0,9.0,,,True,0.0,0.0,9.0,1883664_1585991
