,results_status,event_id,event_name,division_name,day_window,division_rank_name,division_rank_id,stars,event_link,sex,start_date,location,division_id,finish_date
17,Completed events,342,"schauinslandreisen Windsurf World Cup Sylt, presented by got2b *******",Mens Mens Wave elimination,9,Wave Men,928,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=342&cHash=a084d014e91db5fb85fbd4d88f159868,Men,2023-09-22,,826,2023-10-01
18,Completed events,328,2022 Gran Canaria PWA Windsurfing World Cup *****,Mens 2022 Gran Canaria PWA Windsurfing World Cup ***** Mens Wave elimination double elimination,8,Wave Men,886,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=328&cHash=ea92f82f38d9aed790528c5c560bff5f,Men,2022-07-09,,711,2022-07-17
19,Completed events,328,2022 Gran Canaria PWA Windsurfing World Cup *****,Mens 2022 Gran Canaria PWA Windsurfing World Cup ***** Mens Wave elimination,8,Wave Men,886,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=328&cHash=ea92f82f38d9aed790528c5c560bff5f,Men,2022-07-09,,708,2022-07-17
20,Completed events,332,2022 Mercedes-Benz World Cup Sylt *******,Mens 2022 Mercedes-Benz World Cup Sylt ******* Mens Wave elimination double elimination,9,Wave Men,894,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=332&cHash=3dba48be016aafe08e7080c96be9c9e6,Men,2022-09-24,,721,2022-10-03
21,Completed events,332,2022 Mercedes-Benz World Cup Sylt *******,Mens 2022 Mercedes-Benz World Cup Sylt ******* Mens Wave elimination,9,Wave Men,894,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=332&cHash=3dba48be016aafe08e7080c96be9c9e6,Men,2022-09-24,,712,2022-10-03
22,Completed events,322,"SOMWR 10 x Marignane PWA Grand Slam, Presented by Greentech Festival******",Mens Wave elimination,9,Wave Men,871,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=322&cHash=a9699db711a425e197aadb6e7ff69685,Men,2021-11-12,,699,2021-11-21
23,Completed events,286,2019 Gran Canaria PWA World Cup,Mens 2019 Gran Canaria PWA World Cup Mens Wave elimination double elimination,8,Wave Men,778,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=286&cHash=86563a7fef38b80cc2236d4be71de045,Men,2019-07-12,,584,2019-07-20
24,Completed events,286,2019 Gran Canaria PWA World Cup,Mens 2019 Gran Canaria PWA World Cup Mens Wave elimination,8,Wave Men,778,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=286&cHash=86563a7fef38b80cc2236d4be71de045,Men,2019-07-12,,579,2019-07-20
25,Completed events,288,2019 Tenerife PWA World Cup,Mens 2019 Tenerife PWA World Cup Mens Wave elimination,6,Wave Men,780,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=288&cHash=279f6bdb5eba0202a63126f9db5064c8,Men,2019-08-05,,601,2019-08-11
26,Completed events,291,2019 Mercedes-Benz World Cup Sylt,Mens 2019 Mercedes-Benz World Cup Sylt Mens Wave elimination double elimination,9,Wave Men,788,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=291&cHash=1fb8687881e6356a95cd1858c9350fc4,Men,2019-09-27,,628,2019-10-06
27,Completed events,291,2019 Mercedes-Benz World Cup Sylt,Mens 2019 Mercedes-Benz World Cup Sylt Mens Wave elimination,9,Wave Men,788,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=291&cHash=1fb8687881e6356a95cd1858c9350fc4,Men,2019-09-27,,626,2019-10-06
28,Completed events,292,2019 Mercedes-Benz Aloha Classic,Mens 2019 Maui Aloha Classic Mens Wave elimination double elimination,13,Wave Men,793,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=292&cHash=cc058d18cbcc3264d63d7f813c1a2a19,Men,2019-10-27,,642,2019-11-09
29,Completed events,292,2019 Mercedes-Benz Aloha Classic,Mens 2019 Maui Aloha Classic Mens Wave elimination,13,Wave Men,793,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=292&cHash=cc058d18cbcc3264d63d7f813c1a2a19,Men,2019-10-27,,641,2019-11-09
30,Completed events,275,Gran Canaria,Mens 2018 Gran Canaria Mens Wave elimination double elimination,6,Wave Men,746,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=275&cHash=a011a7cd90622e225e04834af776a897,Men,2018-07-15,,500,2018-07-21
31,Completed events,275,Gran Canaria,Mens 2018 Gran Canaria Mens Wave elimination,6,Wave Men,746,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=275&cHash=a011a7cd90622e225e04834af776a897,Men,2018-07-15,,499,2018-07-21
32,Completed events,277,Tenerife,Mens 2018 Tenerife Mens Wave elimination double elimination,6,Wave Men,751,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=277&cHash=d78002b0587a46dad91ac0b7d4a59ae8,Men,2018-08-05,,513,2018-08-11
33,Completed events,277,Tenerife,Mens 2018 Tenerife Mens Wave elimination,6,Wave Men,751,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=277&cHash=d78002b0587a46dad91ac0b7d4a59ae8,Men,2018-08-05,,512,2018-08-11
34,Completed events,278,Mercedes-Benz World Cup Sylt,Mens 2018 Mercedes-Benz World Cup Sylt Mens Wave elimination double elimination,9,Wave Men,753,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=278&cHash=3d18b0f380e7f3f57b7b10393a7b7f63,Men,2018-09-28,,523,2018-10-07
35,Completed events,278,Mercedes-Benz World Cup Sylt,Mens 2018 Mercedes-Benz World Cup Sylt Mens Wave elimination,9,Wave Men,753,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=278&cHash=3d18b0f380e7f3f57b7b10393a7b7f63,Men,2018-09-28,,516,2018-10-07
36,Completed events,264,Gran Canaria,Mens 2017 Gran Canaria Mens Wave elimination double elimination,6,Wave Men,717,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=264&cHash=60af7dbac52a36795726e39a3940dcdf,Men,2017-07-09,,340,2017-07-15
37,Completed events,264,Gran Canaria,Mens 2017 Gran Canaria Mens Wave elimination,6,Wave Men,717,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=264&cHash=60af7dbac52a36795726e39a3940dcdf,Men,2017-07-09,,337,2017-07-15
