,source,event_id,division_id,athlete_id,place,incomplete,name
1310,Live Heats,187553,353243,1277947,13,False,
1311,Live Heats,187553,353243,1277946,13,False,
1312,Live Heats,187553,353243,1277945,13,False,
1313,Live Heats,187553,353243,1277952,17,False,
1314,Live Heats,187553,353243,1277951,17,False,
1315,Live Heats,187553,353243,1277950,17,False,
1316,Live Heats,187553,353243,1277949,17,False,
1317,Live Heats,187553,353243,1277955,21,False,
1318,Live Heats,187553,353243,1277960,21,False,
1319,Live Heats,187553,353243,775156,21,False,
1320,Live Heats,187553,353243,1277953,21,False,
1321,Live Heats,187553,353244,1277949,1,False,
1322,Live Heats,187553,353244,1277951,2,False,
1323,Live Heats,187553,353244,1277950,3,False,
1324,Live Heats,187553,353244,1277957,4,False,
1325,Live Heats,187553,353244,1277959,5,False,
1326,Live Heats,187553,353244,1277958,5,False,
1327,Live Heats,187553,353244,1277961,7,False,
1328,Live Heats,187553,353244,1277960,7,False,
1329,Live Heats,187553,353244,1277963,9,False,
1330,Live Heats,187553,353244,1277962,9,False,
1331,Live Heats,187560,353279,820028,1,False,
1332,Live Heats,187560,353279,776260,2,False,
1333,Live Heats,187560,353279,776256,3,False,
1334,Live Heats,187560,353280,1205611,1,False,
1335,Live Heats,187560,353280,1165941,2,False,
1336,Live Heats,187560,353280,1334796,3,False,
1337,Live Heats,187560,353280,1301829,4,False,
1338,Live Heats,187560,353280,1289257,5,False,
1339,Live Heats,187560,353280,776204,5,False,
1340,Live Heats,187560,353280,776242,7,False,
1341,Live Heats,187560,353280,776238,7,False,
1342,Live Heats,187560,353280,1289266,9,False,
1343,Live Heats,187560,353280,820028,9,False,
1344,Live Heats,187560,353280,776240,9,False,
1345,Live Heats,187560,353280,1198581,9,False,
1346,Live Heats,187560,353280,1289259,13,False,
1347,Live Heats,187560,353280,1195601,13,False,
1348,Live Heats,187560,353280,776260,13,False,
1349,Live Heats,187560,353280,1289258,13,False,
1350,Live Heats,187560,353280,1289261,17,False,
1351,Live Heats,187560,353280,1289260,17,False,
1352,Live Heats,187560,353280,1289262,19,False,
1353,Live Heats,187560,353280,776253,19,False,
1354,Live Heats,187560,353280,776248,19,False,
1355,Live Heats,187560,353280,1289264,22,False,
1356,Live Heats,187560,353280,776256,22,False,
1357,Live Heats,187560,353280,1289263,22,False,
1358,Live Heats,187560,353280,776252,22,False,
1359,Live Heats,187560,353281,776204,1,False,
1360,Live Heats,187560,353281,1301829,2,False,
1361,Live Heats,187560,353281,776242,3,False,
1362,Live Heats,187560,353283,776238,1,False,
1363,Live Heats,187560,353283,1198581,2,False,
1364,Live Heats,187560,353283,1195601,3,False,
1365,Live Heats,214686,400442,923338,1,False,
1366,Live Heats,214686,400442,1203243,2,False,
1367,Live Heats,214686,400442,820127,3,False,
1368,Live Heats,214686,400442,1205034,4,False,
1369,Live Heats,214686,400442,815441,5,False,
1370,Live Heats,214686,400442,1210135,5,False,
1371,Live Heats,214686,400442,1198791,5,False,
1372,Live Heats,214686,400442,1202115,5,False,
1373,Live Heats,214686,400442,1051960,5,False,
1374,Live Heats,165509,316791,1324120,1,False,
1375,Live Heats,165509,316791,1165480,2,False,
1376,Live Heats,165509,316791,1180454,3,False,
1377,Live Heats,165509,316791,1165473,4,False,
1378,Live Heats,165509,316791,1165469,5,False,
1379,Live Heats,165509,316791,1165485,6,False,
1380,Live Heats,165509,316791,1165475,7,False,
1381,Live Heats,165509,316791,1180458,7,False,
1382,Live Heats,165509,316791,1180457,9,False,
1383,Live Heats,165509,316791,1180461,9,False,
1384,Live Heats,165509,316791,1180463,11,False,
1385,Live Heats,165509,316791,1168146,12,False,
1386,Live Heats,165509,316791,1165484,13,False,
1387,Live Heats,165509,316791,1165565,14,False,
1388,Live Heats,165509,316791,1180456,15,False,
1389,Live Heats,165509,316791,1218141,15,False,
1390,Live Heats,165509,316791,1180451,17,False,
1391,Live Heats,165509,316791,1180459,17,False,
1392,Live Heats,165509,316791,999815,19,False,
1393,Live Heats,165509,316791,1180462,20,False,
1394,Live Heats,165509,316791,1165482,21,False,
1395,Live Heats,165509,316791,1180460,23,False,
1396,Live Heats,165509,316791,1172122,23,False,
1397,Live Heats,165509,316791,1180452,25,False,
1398,Live Heats,165509,316791,1180465,26,False,
1399,Live Heats,165509,316791,1218140,27,False,
1400,Live Heats,165509,316791,1202030,30,False,
1401,Live Heats,165509,316791,1169363,30,False,
1402,Live Heats,165509,316791,1168145,30,False,
1403,Live Heats,165509,316791,1166921,30,False,
1404,Live Heats,165509,316791,1166917,30,False,
1405,Live Heats,165509,316791,1397983,30,False,
1406,Live Heats,165509,316791,1166831,30,False,
1407,Live Heats,165509,316791,1166827,30,False,
1408,Live Heats,165509,316791,1165483,30,False,
1409,Live Heats,165509,316791,1165478,30,False,
1410,Live Heats,165509,316791,1165477,30,False,
1411,Live Heats,165509,316791,1165476,30,False,
1412,Live Heats,165509,316792,1180446,1,False,
1413,Live Heats,165509,316792,1184305,2,False,
1414,Live Heats,165509,316792,1214150,3,False,
1415,Live Heats,165509,390433,1180454,1,False,
