,source,event_id,heat_id,division_id,athlete_id,result_total,win_by,needs,place,round,round_position,heat_id_athlete_id
31,Live Heats,147526,1764576,290156,923911,17.0,,,17.0,Final,0.0,1764576_923911
32,Live Heats,147526,1764576,290156,923907,17.0,,,17.0,Final,0.0,1764576_923907
33,Live Heats,147526,1764576,290156,923906,17.0,,,17.0,Final,0.0,1764576_923906
34,Live Heats,147526,1764576,290156,923905,17.0,,,17.0,Final,0.0,1764576_923905
35,Live Heats,147526,1764576,290156,923909,17.0,,,17.0,Final,0.0,1764576_923909
36,Live Heats,147526,1764576,290156,1349792,17.0,,,17.0,Final,0.0,1764576_1349792
37,Live Heats,147526,1764576,290156,923883,17.0,,,17.0,Final,0.0,1764576_923883
38,Live Heats,147526,1764576,290156,923902,17.0,,,17.0,Final,0.0,1764576_923902
39,Live Heats,147526,1764576,290156,923882,17.0,,,17.0,Final,0.0,1764576_923882
40,Live Heats,147526,1764576,290156,923901,17.0,,,17.0,Final,0.0,1764576_923901
41,Live Heats,147526,1764576,290156,923887,17.0,,,17.0,Final,0.0,1764576_923887
42,Live Heats,147526,1764576,290156,923904,17.0,,,17.0,Final,0.0,1764576_923904
43,Live Heats,147526,1764573,290158,1576025,1.0,,,1.0,Final,0.0,1764573_1576025
44,Live Heats,147526,1764573,290158,1576322,2.0,,,2.0,Final,0.0,1764573_1576322
45,Live Heats,147526,1764573,290158,923882,3.0,,,3.0,Final,0.0,1764573_923882
46,Live Heats,147526,1764573,290158,923883,4.0,,,4.0,Final,0.0,1764573_923883
47,Live Heats,147526,1764573,290158,923888,5.0,,,5.0,Final,0.0,1764573_923888
48,Live Heats,147526,1764573,290158,923886,5.0,,,5.0,Final,0.0,1764573_923886
49,Live Heats,147526,1764573,290158,923887,5.0,,,5.0,Final,0.0,1764573_923887
50,Live Heats,147526,1764573,290158,923884,5.0,,,5.0,Final,0.0,1764573_923884
